X,Y,OBJECTID,ASSET_ADDR,ASSET_NAME,OPA_ADDR,SITE_NAME,SITE_CODE,SHAREBLDG_ASSETID,ASSET_ID,SHAREBLDG_NOTE,ASSET_GROUP1,ASSET_GROUP2,ASSET_TYPE,ASSET_SUBTYPE1,ASSET_SUBTYPE2,BUILDINGID,SECONDARYSITE_ID,PRIMARYSITE_ID,ASSET_SUBT1_DESC,CITYOWNED,CITYUSE_DESC,OCCUPANT,MAINTAINEDBY,OPA_ID,OPA_OWNER,SITE_ACRES,SERVING_TYPE,EDITNOTE1,EDITDATE,EDITSOURCE,EDITOR,NOT_PUBLIC,STATUS
-75.152273322409,39.9785752174881,1,1737 N 11TH ST,11th & Cecil B. Moore Playground Stands,,11th & Cecil B. Moore Playground,,,3557,,,,,,,,,,,Y,,PPR,PPR,,,5.181687,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.2231473916605,39.9199485718882,2,2800 S 63RD ST,63rd & Lindbergh Storage Building 2,,63rd & Lindbergh Park,,,3576,,,,,,,,,,,Y,,PPR,PPR,,,3.120685,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.2234020477022,39.9202365129785,3,2800 S 63RD ST,63rd & Lindbergh Storage Building 1,,63rd & Lindbergh Park,,,3575,,,,,,,,,,,Y,,PPR,PPR,,,3.120685,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.2429659170209,39.9100337509134,4,2604 ISLAND AVE,75th & Chelwynde Park,,75th & Chelwynde Park,,,3472,,,,,,,,,,,Y,,PPR,PPR,,,0.813847,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.2406855206549,40.0593097257374,5,600 PORT ROYAL AVE,Al Pearlman Sports Center Barn,,Al Pearlman Sports Center,,,3760,,,,,,,,,,,Y,,PPR,PPR,,,7.021886,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.2410934812547,40.0594482558682,6,600 PORT ROYAL AVE,Al Pearlman Sports Center Shed,,Al Pearlman Sports Center,,,3761,,,,,,,,,,,Y,,PPR,PPR,,,7.021886,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.2336797300259,40.078566619421,7,9750 FORBIDDEN DR,Andorra Natural Area,,Andorra Natural Area,,,3668,,,,,,,,,,,Y,,PPR,PPR,,,157.131099,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.2294047227734,39.9634734027861,8,5430 RACE ST,Ann P. Nichols Park Gazebo,,Ann P. Nichols Park,,,3591,,,,,,,,,,,Y,,PPR,PPR,,,0.885609,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.0854787143627,40.0764254273942,9,7966 OXFORD AVE,Barnes & Loney Gazebo,,Northeast Lions Park,,,3595,,,,,,,,,,,Y,,PPR,PPR,,,0.384659,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.1722606390121,39.9600579304668,10,2051 BENJAMIN FRANKLIN PKY,Barnes Foundation Museum,,Barnes Foundation Museum,,,2805,,,,,,,,,,,Y,,PPR,PPR,,,5.387681,,,2019/10/23 17:40:51+00,PPR,TL,,
-75.2127531250472,39.9299521431175,11,2999 S 56TH ST,Bartram's Garden Green Resource Center,,Bartram's Garden,,,3762,,,,,,,,,,,Y,,PPR,PPR,,,45.822091,,,2019/10/23 17:40:55+00,PPR,TL,,
-75.1516871763774,39.9501657825613,12,15 S 7TH ST,Atwater Kent Museum,,Atwater Kent Museum,,,3473,,,,,,,,,,,Y,,PPR,PPR,,,0.44449,,,2019/10/23 17:41:00+00,PPR,TL,,
-75.2142138429287,39.9301720940962,13,2999 S 56TH ST,Bartram's Garden Greenhouse 2,,Bartram's Garden,,,3522,,,,,,,,,,,Y,,PPR,PPR,,,45.822091,,,2019/10/23 17:41:03+00,PPR,TL,,
-75.2144373238949,39.927164267738,14,3101 S 56TH ST,Bartram's South,,Bartram's South,,,3493,,,,,,,,,,,Y,,PPR,PPR,,,14.477736,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.1560920769287,40.0426143945445,15,2109 W CHEW AVE,Belfield Recreation Center Storage Building,,Balfield Recreation Center,,,3562,,,,,,,,,,,Y,,PPR,PPR,,,4.014729,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.2145368579495,39.991747808408,16,2076 BELMONT MANSION DR,Belmont Grove,,Belmont Grove,,,3630,,,,,,,,,,,Y,,PPR,PPR,,,11.761487,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.2135305167368,39.9914466135229,17,2032 BELMONT MANSION DR,Belmont Mansion Shed,,Belmont Mansion Grounds,,,3763,,,,,,,,,,,Y,,PPR,PPR,,,1.884766,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.2136380242534,39.9908799410399,18,2032 BELMONT MANSION DR,Belmont Cottage and Reception Hall,,Belmont Mansion Grounds,,,3629,,,,,,,,,,,Y,,PPR,PPR,,,1.884766,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.21327900937,39.991162059952,19,2032 BELMONT MANSION DR,Belmont Mansion Grounds,,Belmont Mansion Grounds,,,3631,,,,,,,,,,,Y,,PPR,PPR,,,1.884766,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.2035776165679,39.9899913408327,20,2000 MARTIN LUTHER KING DR,Belmont Yard Pumping Station,,Belmont Yard Pumping Station,,,1498,,,,,,,,,,,Y,,PPR,PPR,,,0.003099,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.1758711042465,39.9620691345832,21,BENJAMIN FRANKLIN PKWY,Benjamin Franklin Parkway Medians,,Benjamin Franklin Parkway,,,3464,,,,,,,,,,,Y,,PPR,PPR,,,13.931208,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.1479246336534,39.9511737773089,22,107 N INDEPENDENCE MALL E,Ben-Gurion Place,,Ben-Gurion Place,,,3764,,,,,,,,,,,Y,,PPR,PPR,,,0.387166,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.0765579537129,40.0138433207688,23,1900 WAKELING ST,Billy Gambrel Playground Announcers Booth,,Billy Gambrel Playground,,,3529,,,,,,,,,,,Y,,PPR,PPR,,,11.544799,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.1446101866944,39.9523840033261,24,239 ARCH ST,Betsy Ross House and Museum Building,,Betsy Ross House,,,3482,,,,,,,,,,,Y,,PPR,PPR,,,0.236189,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.0757302408371,40.0139941212856,25,1900 WAKELING ST,Billy Gambrel Playground Shed 1,,Billy Gambrel Playground,,,3529,,,,,,,,,,,Y,,PPR,PPR,,,11.544799,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.0756400232904,40.0137628979728,26,1900 WAKELING ST,Billy Gambrel Playground Shed 2,,Billy Gambrel Playground,,,3530,,,,,,,,,,,Y,,PPR,PPR,,,11.544799,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.1876396790999,39.9695737879512,27,870 KELLY DR,Boathouse Row,,Boathouse Row,,,3765,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.1771264611314,39.9627604263797,28,2200 BENJ FRANKLIN PKY,Binswanger Triangle,,Binswanger Triangle,,,3491,,,,,,,,,,,Y,,PPR,PPR,,,0.230762,,,,,,,
-75.1890515480267,39.9696414142087,29,900 KELLY DR,Undine Boat Shed,,Boathouse Row,,,3604,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.1867389784327,39.9693288421614,30,858 KELLY DR,Bachelors Boat Cover 3,,Boathouse Row,,,3605,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.1861886385102,39.9692575989766,31,830 KELLY DR,Fairmount Boat Shed 1,,Boathouse Row,,,3606,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
